product_title,shopify_product_id,prod_type
Back To Basics - 2 Items,4408141545530,2
Back To Basics - 3 Items,4408141643834,3
Back To Basics - 5 Items,4408142102586,5
Back To Basics - 5 Items Auto renew,4408142102586,5
Blue Skies - 3 Items,4398408073274,3
Blue Skies - 3 Items Auto renew,4398408073274,3
Blue Skies - 5 Items,4398409089082,5
Calypso - 3 Items,4429051559994,3
Calypso - 5 Items,4429052051514,5
Citrus Kick - 5 Items,4428803113018,5
City Limits - 3 Items,4366061174842,3
Cloud Nine - 2 Item One Time Purchase Auto renew,4490562502714,2
Cloud Nine - 2 Items,4466295210042,2
Cloud Nine - 3 Items,4466295406650,3
Cloud Nine - 3 Items Auto renew,4466295406650,3
Cloud Nine - 5 Items,4466296094778,5
Coastal Cool - 2 Items,4465961861178,2
Coastal Cool - 2 Items Auto renew,4465961861178,2
Coastal Cool - 3 Items,4465962647610,3
Coastal Cool - 3 Items Auto renew,4465962647610,3
Coastal Cool - 5 Items,4465964286010,5
Cupids Kiss - 3 Items,4382378229818,3
Cupids Kiss - 5 Items,4382378360890,5
Dream On - 3 Items,4408153833530,3
Dream On - 5 Items,4408154161210,5
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 3 Items Auto renew,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Emerald Tide - 2 Items,4466306121786,2
Emerald Tide - 2 Items Auto renew,4466306121786,2
Emerald Tide - 3 Items,4466306613306,3
Emerald Tide - 5 Items,4466306973754,5
Floral Bliss - 3 Items,4320725106746,3
Fresh Tone - 2 Items,4465955569722,2
Fresh Tone - 2 Items Auto renew,4465955569722,2
Fresh Tone - 3 Items,4465956257850,3
Fresh Tone - 3 Items Auto renew,4465956257850,3
Fresh Tone - 5 Items,4465957109818,5
Fresh Tone - 5 Items Auto renew,4465957109818,5
Kaleidoscope - 3 Items,4408154718266,3
Making Moves - 2 Items,4398463418426,2
Making Moves - 3 Items,4398463516730,3
Making Moves - 3 Items Auto renew,4398463516730,3
Making Moves - 5 Items,4398463877178,5
Matcha Cha Cha - 3 Items,4408142463034,3
Mineral Love - 2 Items,4465957797946,2
Mineral Love - 2 Items Auto renew,4465957797946,2
Mineral Love - 3 Items,4465958387770,3
Mineral Love - 3 Items Auto renew,4465958387770,3
Mineral Love - 5 Items,4465961369658,5
Mineral Love - 5 Items Auto renew,4465961369658,5
Off The Grid - 2 Items,4465968578618,2
Off The Grid - 2 Items Auto renew,4465968578618,2
Off The Grid - 3 Items,4465970839610,3
Off The Grid - 3 Items Auto renew,4465970839610,3
Off The Grid - 5 Items,4465974837306,5
Off The Grid - 5 Items Auto renew,4465974837306,5
Pacific Mist - 3 Items,4427336384570,3
Papaya Summer - 2 Items,4466290032698,2
Papaya Summer - 3 Items,4466290720826,3
Papaya Summer - 3 Items Auto renew,4466290720826,3
Papaya Summer - 5 Items,4466293407802,5
Paradise Cove - 3 Items,4366058913850,3
Paradise Cove - 3 Items,4366058782778,3
Peachy Keen - 2 Items,4466303500346,2
Peachy Keen - 3 Items,4466303762490,3
Peachy Keen - 3 Items Auto renew,4466303762490,3
Peachy Keen - 5 Items,4466305335354,5
Roll The Dye - 2 Items,4466297176122,2
Roll The Dye - 3 Items,4466297929786,3
Roll The Dye - 3 Items Auto renew,4466297929786,3
Roll The Dye - 5 Items,4466299371578,5
Roll The Dye - 5 Items Auto renew,4466299371578,5
Show Your Stripes - 2 Items,4320727367738,2
Show Your Stripes - 3 Items,4320729464890,3
Show Your Stripes - 5 Items,4320730775610,5
Spring Into Action - 3 Items,4438604349498,3
Street Smarts - 3 Items,2154512613434,3
Tie Game - 3 Items,4429126860858,3
Tie Game - The May Collection (2020),4429126860858,555
Under The Radar - 3 Items,4398464565306,3
Under The Radar - 5 Items,4399643066426,5
Victory Lap - 3 Items,2372782751802,3
Wind Breaker - 2 Items,4466299830330,2
Wind Breaker - 2 Items Auto renew,4466299830330,2
Wind Breaker - 3 Items,4466300452922,3
Wind Breaker - 3 Items Auto renew,4466300452922,3
Wind Breaker - 5 Items,4466302419002,5
Wrap Me Up - 3 Items,2076469657658,3
