count,product_collection
1,Aspen Sky - 3 Items
100,Bold In Blue - 3 Items
20,Bold In Blue - 5 Items
1,Colorsplash - 3 Items
6,Cosmic Cool - 2 Items
116,Cosmic Cool - 3 Items
30,Cosmic Cool - 5 Items
2,Down To Earth - 3 Items
2,Dulce De Leche - 2 Items
122,Dulce De Leche - 3 Items
38,Dulce De Leche - 5 Items
847,Ellie Picks - 2 Items
18358,Ellie Picks - 3 Items
2760,Ellie Picks - 5 Items
1,Festival Feels - 2 Items
6,Festival Feels - 3 Items
1,Festival Feels - 5 Items
1,First Kiss - 2 Items
42,First Kiss - 3 Items
7,First Kiss - 5 Items
100,Go Thyme - 3 Items
20,Go Thyme - 5 Items
2,Head In The Clouds - 3 Items
2,Head In The Clouds - 5 Items
7,Just Peachy - 3 Items
3,Just Peachy - 5 Items
2,Make The Cut - 2 Items
8,Make The Cut - 3 Items
1,Make The Cut - 5 Items
74,Moon Shine - 3 Items
16,Moon Shine - 5 Items
10,Natural Beauty - 3 Items
2,Natural Beauty - 5 Items
3,New Heights - 2 Items
20,New Heights - 3 Items
5,New Heights - 5 Items
1,Ombre Sky - 2 Items
20,Ombre Sky - 3 Items
3,Ombre Sky - 5 Items
1,On The Prowl - 2 Items
29,On The Prowl - 3 Items
5,On The Prowl - 5 Items
13,On The Run - 3 Items
6,On The Run - 5 Items
1,Peony Perfection - 2 Items
5,Peony Perfection - 3 Items
13,Picasso - 3 Items
1,Picasso - 5 Items
100,Plum Perfect - 3 Items
20,Plum Perfect - 5 Items
1,Precious Peak - 5 Items
10,Pretty In Python - 3 Items
29,Purple Reign - 3 Items
6,Purple Reign - 5 Items
1,Sea You Later - 3 Items
1,Smoked Violet - 5 Items
1,Spot On - 2 Items
4,Spot On - 3 Items
1,Spot On - 5 Items
1,Spring Fling - 3 Items
3,Tempest - 2 Items
73,Tempest - 3 Items
15,Tempest - 5 Items
5,Terracotta Crush - 2 Items
58,Terracotta Crush - 3 Items
31,Terracotta Crush - 5 Items
2,Twist Of Fate - 3 Items
2,Twist Of Fate - 5 Items
1,Up In The Air - 5 Items
100,Urban Jungle - 3 Items
20,Urban Jungle - 5 Items
23,
-------- Now Orders --------
3,Ellie Picks  - 3 Items
1,Ellie Picks  - 5 Items
52,Ellie Picks - 2 Items
1443,Ellie Picks - 3 Items
465,Ellie Picks - 5 Items
1,Ombre Sky - 2 Items
57,Ombre Sky - 3 Items
41,Ombre Sky - 5 Items
4,
